empresa_grupo_sf;empresa_grupo_zd;tag;field_id
BLUMOB;BLUMOB;empresa_do_grupo_lgpd_blumob;12222812145044
Breda;Pira Peruíbe;empresa_do_grupo_rodoviario_pira_peruíbe;12222812145044
Central de Encomendas;Central de Encomendas;empresa_do_grupo_rodoviario_central_de_encomendas;12333174578452
Comporte;Comporte;empresa_do_grupo_lgpd_comporte;12222812145044
Cruz Encomendas;Cruz Encomendas;empresa_do_grupo_lgpd_cruz_encomendas;12222812145044
DTweb;DTweb;empresa_do_grupo_rodoviario_dtweb;12333174578452
Empresa Cruz;Empresa Cruz;empresa_do_grupo_rodoviario_empresa_cruz;12333174578452
Empresa Cruz de Transportes;Empresa Cruz de Transportes;empresa_do_grupo_lgpd_empresa_cruz_de_transportes;12222812145044
Expresso Caxiense;Expresso Caxiense;empresa_do_grupo_rodoviario_expresso_caxiense;12333174578452
Expresso Cruz;Empresa Cruz de Transportes;empresa_do_grupo_lgpd_empresa_cruz_de_transportes;12222812145044
Expresso de Prata;Expresso de Prata;empresa_do_grupo_rodoviario_expresso_de_prata;12333174578452
Expresso Itamarati;Expresso Itamarati;empresa_do_grupo_rodoviario_expresso_itamarati;12333174578452
Expresso Luxo;Luxo;empresa_do_grupo_rodoviario_expresso_luxo;12333174578452
Expresso Maringá;Expresso Maringá;empresa_do_grupo_rodoviario_expresso_maringá;12333174578452
Expresso União;Expresso União;empresa_do_grupo_rodoviario_expresso_união;12333174578452
Itamarati;Expresso Itamarati;empresa_do_grupo_rodoviario_expresso_itamarati;12333174578452
Itamarati Express;Itamarati Express;empresa_do_grupo_encomendas_itamarati_express_clonar;12333231287828
Luwasa;Viação Luwasa;empresa_do_grupo_rodoviario_viação_luwasa;12333174578452
Luxo;Luxo;empresa_do_grupo_rodoviario_luxo;12333174578452
Manoel Rodrigues;Princesa do Norte;empresa_do_grupo_rodoviario_princesa_do_norte;12333174578452
Mobifácil;Mobifácil;empresa_do_grupo_rodoviario_mobifácil;12333174578452
N. S. Penha;N. S. Penha;empresa_do_grupo_rodoviario_n_s_penha;12333174578452
Não se Aplica;Não se Aplica;empresa_do_grupo_rodoviario_não_se_aplica;12333174578452
Pássaro Marron;Pássaro Marron;empresa_do_grupo_rodoviario_pássaro_marron;12333174578452
Penha;N. S. Penha;empresa_do_grupo_rodoviario_n_s_penha;12333174578452
Pira BR Mobilidade;Pira BR Mobilidade;empresa_do_grupo_rodoviario_pira_br_mobilidade;12333174578452
Pira Brasília;Pira Brasília;empresa_do_grupo_rodoviario_pira_brasília;12333174578452
Pira Peruíbe;Pira Peruíbe;empresa_do_grupo_rodoviario_pira_peruíbe;1222281214504
Piracicabana;Viação Piracicabana;empresa_do_grupo_rodoviario_viação_piracicabana;12333174578452
Princesa do Norte;Princesa do Norte;empresa_do_grupo_rodoviario_princesa_do_norte;12333174578452
Princesa Sto Antonio;Princesa Sto Antonio;empresa_do_grupo_lgpd_princesa_sto_antonio;12222812145044
TEX;TEX;empresa_do_grupo_encomendas_tex_clonar;12333231287828
União;Expresso União;empresa_do_grupo_rodoviario_expresso_união;12333174578452
União Express;União Express;empresa_do_grupo_encomendas_união_express_clonar;12333231287828
VCB Transportes Ltda;VCB Transportes Ltda;empresa_do_grupo_rodoviario_vcb_transportes_ltda;12333174578452
Viação Manoel Rodrigues;Viação Manoel Rodrigues;empresa_do_grupo_rodoviario_viação_manoel_rodrigues;12333174578452
Viação Piracicabana;Viação Piracicabana;empresa_do_grupo_rodoviario_viação_piracicabana;12333174578452
